menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
147	0	0	3000	민트 초코 라떼	413	초코칩으로 더한 깊은 초콜릿의 맛과 민트의 상쾌함이 어우러진 진한 민트초코라떼	p_imincholat_etc
149	1	0	3000	토피넛 라떼	411	견과류와 카라멜의 고소하고 달콤함이 느껴지는 부드럽고 진한 맛의 토피넛라떼	p_toff_etc
149	0	0	3000	토피넛 라떼	411	견과류와 카라멜의 고소하고 달콤함이 느껴지는 부드럽고 진한 맛의 토피넛라떼	p_itoff_etc
143	0	0	3500	블랙 펄 라떼	397	흑당 베이스의 풍미 있는 달콤함과 쫄깃한 타피오카 펄, 고소한 우유가 어우러진 블랙펄라떼	p_bpelat_etc
139	0	0	3500	미숫가루	308	고소하고 진한 맛의 미숫가루!	p_mi_etc
140	0	0	3500	식혜	287	100% 경기미로 씹을수록 더 맛있는 달콤한 식혜	p_rice_etc
151	0	0	3500	딸기 라떼	331	달콤한 딸기 과육이 가득! 부드럽고 달콤하게 즐기는 딸기라떼	p_str_etc
167	0	1	3000	크룽지	320	황설탕 카라멜라이징으로 더 달콤고소한 빅사이즈 크룽지	p_crg_br
156	0	0	2500	못난이 생크림 카스텔라	300	부드러운 우유 생크림이 가득한 폭신하고 촉촉한 카스텔라	p_augccas_br
171	0	0	2500	예산 사과 샌드	240	아삭하게 씹히는 예산 사과와 풍미를 더하는 시나몬이 들어있는 샌드	p_appsan_br
172	0	0	2000	고메버터 소금빵	220	프랑스산 고급 발효버터와 안데스산맥 빙하소금의 풍미가 가득	p_gobusal_br
157	0	0	1500	크리미슈	330	비스킷과 부드러운 크림의 환상 조합!	p_cresu_br
155	0	0	1500	크리미단팥빵	420	달콤한 팥과 크림이 듬뿍~	p_crereab_br
235	0	0	1500	노말한 소프트	333	입안에서 부드럽게 사르륵 녹는 마성의 아이스크림	p_nomsof_ic
235	0	0	2000	아포카토	307	소프트 아이스크림과 코코아파우더를 곁들여 더욱 맛있는 더블 에스프레소	p_apo_ic
249	0	0	2000	달고나 크런치	434	바삭한 달고나와 부드러운 아이스크림이 잘 어울리는 달고나크런치	p_dalc_ic
167	0	0	2500	긴 페스츄리 와플	382	약 23cm 길이의 기다란 페스츄리 와플입니다. 겹겹이 살아있는 버터의 고소한 풍미와 비정제 사탕수수 원당의 달콤함을 느껴보세요.	p_peswaf_br
167	0	0	2800	큰 마들렌	332	약 13cm의 큰!마들렌 촉촉하고 부드러운 플레인 맛으로 커피 메뉴와 함께 즐겨보세요.	p_bmadl_br
154	0	0	2300	초콜릿 네모머핀	400	초코칩이 들어있는 진한 초코 맛 머핀	p_chosqmuf_br
171	0	0	2500	사라다빵	386	어린시절 빵집에서 사먹던 추억의 감자 사라다빵	p_sara_br
170	0	0	2500	소세지빵	500	소시지에 치즈를 듬뿍 얹고 옥수수까지 더한 소세지빵	p_saug_br
170	0	0	2500	빽그램핫도그	500	육즙 가득 두툼한 100 g 소시지가 들어있어 간편한 식사 대용으로 GOOD!	p_phdog_br
280	0	0	1800	우유 맛카롱	224	진한 우유 향과 맛을 그대로 간직한 맛카롱	p_mil_ck
273	0	0	1800	초코크런치 맛카롱	240	진한 우유 향과 맛을 그대로 간직한 맛카롱	p_cho_ck
274	0	0	1800	딸기크런치 맛카롱	238	자꾸자꾸 생각나는 상큼달콤 딸기 맛카롱	p_str_ck
